"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","20","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","29","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","3","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","14","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","26","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","36","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","50","2","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","9","1","0.000000","0","0"
"/Game/Models/pistachioBowlEmpty/pistachioBowlMaterial.pistachioBowlMaterial","0","0","16","1","0.000000","0","0"
"/Game/Models/Nene02/noseShader.noseShader","0","0","26","1","0.000000","0","0"
"/Game/Models/Nene02/scarfShader.scarfShader","0","0","26","1","0.000000","0","0"
"/Game/Models/Nene02/hairShader.hairShader","0","0","26","1","0.000000","0","0"
"/Game/Models/Nene02/lambert1.lambert1","0","0","26","1","0.000000","0","0"
"/Game/Models/Nene02/lambert2.lambert2","0","0","26","1","0.000000","0","0"
"/Game/Models/Nene02/skirtShader.skirtShader","0","0","26","1","0.000000","0","0"
"/Game/Models/Nene02/shirtShader.shirtShader","0","0","26","1","0.000000","0","0"
"/Game/Models/Chest/source/Material_001.Material_001","0","0","26","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","5","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","9","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","4","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","58","6","0.000000","0","3"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","87","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","127","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","677","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","31","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","36","1","0.000000","0","0"
"/Game/Models/Nene02/faceShader.faceShader","0","0","26","1","0.000000","0","0"
"/Game/Models/Nene02/handsShader.handsShader","0","0","26","1","0.000000","0","0"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","68","1","0.000000","0","0"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","0","60","2","0.000000","0","0"
"/Interchange/gltf/M_Unlit.M_Unlit","0","0","66","6","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","0","62","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","0","88","1","0.000000","0","0"
"/Interchange/gltf/M_Transmission.M_Transmission","0","0","50","2","0.000000","0","0"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","0","0","140","6","0.000000","0","0"
"/Interchange/gltf/M_Default.M_Default","0","0","140","6","0.000000","0","0"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","0","140","6","0.000000","0","0"
"/Interchange/gltf/M_Sheen.M_Sheen","0","0","140","6","0.000000","0","0"
"/Game/Models/radio/radioBodyMaterial.radioBodyMaterial","0","0","14","1","0.000000","0","0"
"/Game/Models/Kitchen/door/lambert1.lambert1","0","0","14","1","0.000000","0","0"
"/Game/Models/radio/radioBody2.radioBody2","0","0","14","1","0.000000","0","0"
"/Game/Models/Kitchen/Table/lambert1.lambert1","0","0","14","1","0.000000","0","0"
"/Game/CozyCartoonWorld/Kitchen01/Materials/M_Master.M_Master","0","0","138","3","0.000000","0","828"
"/Game/CozyCartoonWorld/Kitchen01/Materials/M_Master_Opacity_Dithered.M_Master_Opacity_Dithered","0","0","264","3","0.000000","0","264"
"/Game/Models/cuttingBoard/source/cuttingBoard_material.cuttingBoard_material","0","0","14","1","0.000000","0","0"
"/Game/Models/Kitchen/Stove/lambert1.lambert1","0","0","14","1","0.000000","0","0"
"/Game/Models/radio/radioDetail.radioDetail","0","0","14","1","0.000000","0","0"
"/Game/Models/radio/radioDetail2.radioDetail2","0","0","14","1","0.000000","0","0"
"/Game/Models/Kitchen/door/standardSurface2.standardSurface2","0","0","14","1","0.000000","0","0"
"/Game/Models/knifeModel/knifeMetal.knifeMetal","0","0","14","1","0.000000","0","0"
"/Game/Characters/lambert1.lambert1","0","0","14","1","0.000000","0","0"
"/Game/Models/Kitchen/woodTile.woodTile","0","0","14","1","0.000000","0","0"
"/Game/Models/knifeModel/knifeHandle.knifeHandle","0","0","14","1","0.000000","0","0"
"/Game/Models/Kitchen/Fridge/lambert1.lambert1","0","0","14","1","0.000000","0","0"
"/Game/Models/Kitchen/wallpaperTexture.wallpaperTexture","0","0","14","1","0.000000","0","0"
"/Game/Models/Kitchen/Counters/lambert1.lambert1","0","0","14","1","0.000000","0","0"
"/Game/Models/Kitchen/Oven/lambert1.lambert1","0","0","14","1","0.000000","0","0"
"/Game/CozyCartoonWorld/Kitchen01/Materials/M_Master_Opacity_Translucent.M_Master_Opacity_Translucent","0","0","66","1","0.000000","0","66"
"/Game/Models/Kitchen/Chairs/lambert1.lambert1","0","0","14","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","67","1","0.000000","0","0"
"/Game/Models/bagOfPistachios/source/pistachiobag2.pistachiobag2","0","0","14","1","0.000000","0","0"
"/Game/Models/bagOfPistachios/source/pistachioBag1.pistachioBag1","0","0","14","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","0","8","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","49","0","20","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","49","0","31","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","0","3","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","0","9","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","0","16","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","0","26","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","49","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","0","44","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","49","0","54","2","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","49","0","9","1","0.000000","0","0"
"/Game/Models/pistachioBowlEmpty/pistachioBowlMaterial.pistachioBowlMaterial","49","0","16","1","0.000000","0","0"
"/Game/Models/Nene02/noseShader.noseShader","49","0","26","1","0.000000","0","0"
"/Game/Models/Nene02/scarfShader.scarfShader","49","0","26","1","0.000000","0","0"
"/Game/Models/Nene02/hairShader.hairShader","49","0","26","1","0.000000","0","0"
"/Game/Models/Nene02/lambert1.lambert1","49","0","26","1","0.000000","0","0"
"/Game/Models/Nene02/lambert2.lambert2","49","0","26","1","0.000000","0","0"
"/Game/Models/Nene02/skirtShader.skirtShader","49","0","26","1","0.000000","0","0"
"/Game/Models/Nene02/shirtShader.shirtShader","49","0","26","1","0.000000","0","0"
"/Game/Models/Chest/source/Material_001.Material_001","49","0","26","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","0","50","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","0","50","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","0","50","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","0","28","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","0","5","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","49","0","9","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","0","4","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","0","62","6","0.000000","0","3"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","0","87","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","0","127","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","0","838","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","0","33","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","0","44","1","0.000000","0","0"
"/Game/Models/Nene02/faceShader.faceShader","49","0","26","1","0.000000","0","0"
"/Game/Models/Nene02/handsShader.handsShader","49","0","26","1","0.000000","0","0"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","49","0","10","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","49","0","68","1","0.000000","0","0"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","49","0","60","2","0.000000","0","0"
"/Interchange/gltf/M_Unlit.M_Unlit","49","0","70","6","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","0","66","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","0","92","1","0.000000","0","0"
"/Interchange/gltf/M_Transmission.M_Transmission","49","0","50","2","0.000000","0","0"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","49","0","144","6","0.000000","0","0"
"/Interchange/gltf/M_Default.M_Default","49","0","144","6","0.000000","0","0"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","49","0","144","6","0.000000","0","0"
"/Interchange/gltf/M_Sheen.M_Sheen","49","0","144","6","0.000000","0","0"
"/Game/Models/radio/radioBodyMaterial.radioBodyMaterial","49","0","14","1","0.000000","0","0"
"/Game/Models/Kitchen/door/lambert1.lambert1","49","0","14","1","0.000000","0","0"
"/Game/Models/radio/radioBody2.radioBody2","49","0","14","1","0.000000","0","0"
"/Game/Models/Kitchen/Table/lambert1.lambert1","49","0","14","1","0.000000","0","0"
"/Game/CozyCartoonWorld/Kitchen01/Materials/M_Master.M_Master","49","0","138","3","0.000000","0","828"
"/Game/CozyCartoonWorld/Kitchen01/Materials/M_Master_Opacity_Dithered.M_Master_Opacity_Dithered","49","0","276","3","0.000000","0","276"
"/Game/Models/cuttingBoard/source/cuttingBoard_material.cuttingBoard_material","49","0","14","1","0.000000","0","0"
"/Game/Models/Kitchen/Stove/lambert1.lambert1","49","0","14","1","0.000000","0","0"
"/Game/Models/radio/radioDetail.radioDetail","49","0","14","1","0.000000","0","0"
"/Game/Models/radio/radioDetail2.radioDetail2","49","0","14","1","0.000000","0","0"
"/Game/Models/Kitchen/door/standardSurface2.standardSurface2","49","0","14","1","0.000000","0","0"
"/Game/Models/knifeModel/knifeMetal.knifeMetal","49","0","14","1","0.000000","0","0"
"/Game/Characters/lambert1.lambert1","49","0","14","1","0.000000","0","0"
"/Game/Models/Kitchen/woodTile.woodTile","49","0","14","1","0.000000","0","0"
"/Game/Models/knifeModel/knifeHandle.knifeHandle","49","0","14","1","0.000000","0","0"
"/Game/Models/Kitchen/Fridge/lambert1.lambert1","49","0","14","1","0.000000","0","0"
"/Game/Models/Kitchen/wallpaperTexture.wallpaperTexture","49","0","14","1","0.000000","0","0"
"/Game/Models/Kitchen/Counters/lambert1.lambert1","49","0","14","1","0.000000","0","0"
"/Game/Models/Kitchen/Oven/lambert1.lambert1","49","0","14","1","0.000000","0","0"
"/Game/CozyCartoonWorld/Kitchen01/Materials/M_Master_Opacity_Translucent.M_Master_Opacity_Translucent","49","0","66","1","0.000000","0","66"
"/Game/Models/Kitchen/Chairs/lambert1.lambert1","49","0","14","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","49","0","82","1","0.000000","0","0"
"/Game/Models/bagOfPistachios/source/pistachiobag2.pistachiobag2","49","0","14","1","0.000000","0","0"
"/Game/Models/bagOfPistachios/source/pistachioBag1.pistachioBag1","49","0","14","1","0.000000","0","0"
